"Kod";"Nazwa";"wolne miejsca pracy;2015;[tysiąc]";"wolne miejsca pracy;2016;[tysiąc]";"wolne miejsca pracy;2017;[tysiąc]";"wolne miejsca pracy;2018;[tysiąc]";"wolne miejsca pracy;2019;[tysiąc]";"wolne miejsca pracy;2020;[tysiąc]";"wolne miejsca pracy;2021;[tysiąc]";"wolne miejsca pracy;2022;[tysiąc]";
0000000;"POLSKA";71,6;89,3;122,5;153,4;142,1;83,4;136,0;139,8;
0200000;"DOLNOŚLĄSKIE";6,7;8,5;12,1;13,2;11,7;7,9;12,5;13,7;
0400000;"KUJAWSKO-POMORSKIE";2,7;3,0;4,3;6,5;4,9;3,6;4,8;4,9;
0600000;"LUBELSKIE";1,7;2,2;3,2;3,2;3,1;1,6;3,0;2,9;
0800000;"LUBUSKIE";1,8;2,1;3,1;4,4;2,6;1,6;2,5;3,2;
1000000;"ŁÓDZKIE";3,8;5,8;7,5;7,9;8,8;6,2;7,7;6,6;
1200000;"MAŁOPOLSKIE";6,6;7,6;11,1;15,0;15,3;7,7;16,0;13,5;
1400000;"MAZOWIECKIE";17,7;20,4;27,4;35,8;35,4;22,0;32,1;36,7;
1600000;"OPOLSKIE";1,7;2,0;2,9;2,4;2,6;1,3;3,7;2,7;
1800000;"PODKARPACKIE";1,0;2,5;3,3;4,3;3,0;2,0;2,3;3,2;
2000000;"PODLASKIE";1,1;1,2;1,7;2,0;2,3;1,1;1,9;2,3;
2200000;"POMORSKIE";4,5;4,8;6,8;10,1;9,6;5,0;8,6;8,1;
2400000;"ŚLĄSKIE";8,0;10,7;15,1;20,2;18,7;9,0;17,5;14,8;
2600000;"ŚWIĘTOKRZYSKIE";1,3;1,5;3,1;2,6;2,8;1,5;2,1;2,0;
2800000;"WARMIŃSKO-MAZURSKIE";1,5;2,1;2,3;3,0;3,4;1,4;2,5;2,7;
3000000;"WIELKOPOLSKIE";7,8;9,9;13,7;16,2;12,8;7,1;13,0;14,9;
3200000;"ZACHODNIOPOMORSKIE";3,7;5,1;4,7;6,6;5,2;4,5;5,7;7,6;
